S.No.,State_Name,Population_2011,Estimated_in_2021
1,Andaman & Nicobar Islands,380581,399001
2,Andhra Pradesh,84580777,91702478
3,Arunachal Pradesh,1383727,1711947
4,Assam,31205576,35998752
5,Bihar,104099452,128500364
6,Chandigarh,1055450,1158040
7,Chhattisgarh,25545198,32199722
8,Dadra and Nagar Haveli,343709,453008
9,Daman and Diu,243247,320989
10,Delhi,16787941,19301096
11,Goa,1458545,1521992
12,Gujarat,60439692,70400153
13,Haryana,25351462,28900667
14,Himachal Pradesh,6864602,7503010
15,Jammu and Kashmir,12541302,14999397
16,Jharkhand,32988134,40100376
17,Karnataka,61095297,69599762
18,Kerala,33406061,34698876
19,Lakshadweep,64473,66001
20,Madhya Pradesh,72626809,85002417
21,Maharashtra,112374333,124904071
22,Manipur,2855794,3436948
23,Meghalaya,2966889,3772103
24,Mizoram,1097206,1308967
25,Nagaland,1978502,2073074
26,Orissa,41974218,47099270
27,Puducherry,1247953,1646050
28,Punjab,27743338,30501026
29,Rajasthan,68548437,79502477
30,Sikkim,610577,658019
31,Tamil Nadu,72147030,83697770
32,Telangana,35193978,38157311
33,Tripura,3673917,4184959
34,Uttar Pradesh,199812341,231502578
35,Uttarakhand,10086292,11700099
36,West Bengal,91276115,100896618
